product_name,hs_code,export_value_crore,export_volume_tons,top_destinations,growth_rate_percent,certifications_required,price_range_usd_per_ton
Basmati Rice,1006,32000,4500000,"Saudi Arabia;Iran;Iraq;UAE;Kuwait",8.5,"APEDA;Phytosanitary;Fumigation;FSSAI","800-1500"
Non-Basmati Rice,1006,15000,12000000,"Bangladesh;Nepal;Benin;Senegal;Guinea",12.0,"APEDA;Phytosanitary;FSSAI","350-600"
Wheat,1001,5500,3200000,"Bangladesh;Sri Lanka;Nepal;UAE",6.5,"Phytosanitary;FSSAI;BIS","250-400"
Maize,1005,3200,2800000,"Bangladesh;Nepal;Vietnam;Malaysia",10.0,"Phytosanitary;FSSAI","200-350"
Millets,1008,800,200000,"UAE;USA;UK;Germany;Japan",35.0,"APEDA;Organic NPOP;FSSAI","400-800"
Turmeric,0910,2500,180000,"USA;Germany;Japan;UAE;UK",18.0,"Spices Board;APEDA;Organic NPOP;ISO 22000","1500-4000"
Chili,0904,4500,500000,"China;Thailand;Vietnam;Bangladesh;Sri Lanka",10.0,"Spices Board;APEDA;Phytosanitary","1200-3000"
Black Pepper,0904,2800,50000,"USA;UK;Germany;UAE;Japan",8.0,"Spices Board;APEDA;Organic NPOP","5000-12000"
Cardamom,0908,1200,8000,"Saudi Arabia;UAE;Japan;USA",6.0,"Spices Board;APEDA;ISO","15000-35000"
Cumin,0909,2000,180000,"USA;UK;Turkey;Bangladesh;UAE",12.0,"Spices Board;APEDA;FSSAI","2000-4000"
Coriander,0909,800,100000,"Malaysia;Singapore;UAE;UK",9.0,"Spices Board;APEDA;FSSAI","1000-2500"
Ginger,0910,600,60000,"USA;UK;Bangladesh;UAE;Saudi Arabia",14.0,"Spices Board;APEDA;FSSAI","800-2000"
Garlic,0703,400,50000,"Bangladesh;Nepal;Sri Lanka;UAE",8.0,"Phytosanitary;FSSAI","500-1200"
Groundnut,1202,5500,800000,"Indonesia;Vietnam;Philippines;Malaysia",10.0,"APEDA;Aflatoxin Test;FSSAI","800-1500"
Soybean Meal,2304,3200,3500000,"Japan;South Korea;Vietnam;Thailand",7.0,"APEDA;Non-GMO;FSSAI","350-600"
Sesame,1207,3000,350000,"China;South Korea;Japan;Vietnam;Turkey",12.0,"APEDA;FSSAI","1200-2500"
Mustard,1207,200,50000,"UAE;Nepal;Bangladesh",5.0,"APEDA;FSSAI","600-1000"
Coconut Products,0801,2500,500000,"USA;UAE;UK;Germany;Japan",15.0,"APEDA;Coir Board;FSSAI","500-3000"
Cotton,5201,8500,5000000,"China;Bangladesh;Vietnam;Pakistan",6.0,"Cotton Association;DGFT;BIS","1200-2200"
Jute,5303,1200,200000,"Bangladesh;USA;UK;Germany",4.0,"Jute Board;DGFT","400-800"
Banana,0803,1500,250000,"UAE;Saudi Arabia;Oman;Iran;Kuwait",14.0,"APEDA;Phytosanitary;FSSAI","300-800"
Mango,0804,3000,60000,"UAE;USA;UK;Saudi Arabia;Qatar",12.0,"APEDA;Phytosanitary;VHT;GLOBALGAP","1000-3000"
Pomegranate,0810,1200,50000,"UAE;UK;Germany;Netherlands;Bangladesh",16.0,"APEDA;GLOBALGAP;Phytosanitary","1500-3500"
Grapes,0806,2500,250000,"Netherlands;UK;UAE;Bangladesh;Germany",8.0,"APEDA;GLOBALGAP;Phytosanitary","800-2000"
Apple,0808,200,40000,"Bangladesh;Nepal;UAE;Sri Lanka",5.0,"Phytosanitary;FSSAI","500-1500"
Orange,0805,500,100000,"Bangladesh;UAE;Nepal;Qatar",7.0,"Phytosanitary;FSSAI","400-1000"
Guava,0804,300,30000,"UAE;Netherlands;UK;USA",20.0,"APEDA;Phytosanitary;FSSAI","600-1500"
Papaya,0807,200,20000,"UAE;Qatar;Saudi Arabia;Oman",18.0,"APEDA;Phytosanitary;FSSAI","400-900"
Cashew,0801,6000,100000,"USA;Netherlands;UAE;Japan;UK",5.0,"APEDA;FSSAI","6000-12000"
Tea,0902,5500,250000,"Russia;UAE;UK;USA;Iran",5.0,"Tea Board;FSSAI;ISO 22000;Rainforest Alliance","2000-6000"
Coffee,0901,4500,400000,"Italy;Germany;Russia;Belgium;Spain",7.0,"Coffee Board;Fair Trade;ISO 22000;Organic NPOP","3000-8000"
Sugar,1701,8000,5000000,"Bangladesh;Indonesia;Afghanistan;UAE",10.0,"BIS;FSSAI","400-700"
Jaggery,1701,500,100000,"USA;UK;UAE;Canada;Australia",22.0,"FSSAI;Organic NPOP;APEDA","800-2000"
Honey,0409,800,60000,"USA;UAE;Saudi Arabia;UK;Germany",15.0,"APEDA;FSSAI;EIA;Organic","2000-6000"
Mushroom,0709,200,15000,"USA;UK;Germany;Japan;UAE",25.0,"APEDA;FSSAI;Organic NPOP","3000-8000"
Spice Mixes,0910,3500,200000,"USA;UK;UAE;Canada;Australia",18.0,"Spices Board;FSSAI;ISO 22000","2000-5000"
Essential Oils,3301,1200,25000,"USA;UK;France;Germany;Japan",20.0,"APEDA;ISO 9001;Organic","5000-30000"
Dried Vegetables,0712,800,150000,"USA;UK;Germany;Japan;UAE",15.0,"APEDA;FSSAI;ISO 22000","1000-3000"
Pickles Chutneys,2001,600,80000,"USA;UK;UAE;Canada;Australia",12.0,"FSSAI;ISO 22000;APEDA","1500-4000"
Processed Fruits,2008,1500,200000,"USA;UAE;UK;Netherlands;Germany",14.0,"APEDA;FSSAI;BRC","1000-3500"
Marine Products,0306,50000,1200000,"USA;China;Japan;Vietnam;EU",8.0,"MPEDA;EIA;FSSAI;HACCP","3000-15000"
Silk,5002,2000,5000,"China;UAE;UK;USA;Italy",6.0,"Silk Board;DGFT","30000-80000"
Rubber,4001,2500,200000,"China;Germany;USA;Japan",5.0,"Rubber Board;DGFT;BIS","1500-3000"
Organic Products,Multiple,5000,500000,"USA;EU;Japan;Canada;Australia",25.0,"NPOP;USDA Organic;EU Organic;JAS","2000-10000"
Herbal Products,1211,3000,200000,"USA;EU;Japan;South Korea;China",22.0,"FSSAI;Drug Controller;APEDA;GMP","2000-15000"
Aloe Vera Products,1302,400,30000,"USA;EU;Japan;South Korea",28.0,"FSSAI;Cosmetic License;Organic","3000-8000"
Moringa Products,1211,300,15000,"USA;EU;Japan;China;South Korea",40.0,"FSSAI;Organic NPOP;APEDA","3000-10000"
Bamboo Products,4601,200,50000,"USA;EU;Japan;Australia",15.0,"Forest Dept;MSME;Export License","1000-5000"
Flower Products,0603,800,20000,"USA;UAE;Netherlands;Japan;UK",18.0,"APEDA;Phytosanitary;FSSAI","2000-8000"
Neem Products,1302,500,40000,"USA;EU;Africa;South Asia",15.0,"Organic Certification;Export License","1500-5000"
Spirulina,1212,100,2000,"USA;Japan;EU;South Korea",35.0,"FSSAI;Organic;GMP","10000-30000"
Vanilla,0905,50,500,"USA;EU;Japan",12.0,"Spices Board;APEDA;Organic","20000-60000"
Saffron,0910,80,10,"UAE;USA;UK;Italy;Spain",5.0,"Spices Board;APEDA;JK Standards","100000-200000"
Cinnamon,0906,100,5000,"USA;EU;Mexico;Japan",10.0,"Spices Board;APEDA;FSSAI","3000-8000"
Ashwagandha,1211,500,50000,"USA;EU;Japan;Canada;Australia",30.0,"FSSAI;GMP;Organic NPOP","3000-12000"
Dragon Fruit,0810,50,5000,"UAE;UK;Singapore;Malaysia",45.0,"APEDA;Phytosanitary;Organic","2000-5000"
Avocado,0804,30,2000,"UAE;Singapore;Japan",50.0,"APEDA;Phytosanitary;GLOBALGAP","2000-6000"
